__timestamp,location_name,latitude,longitude,PM2.5
15-11-2020,"Central School, Lucknow - CPCB",26.8821003,80.9302753,151.0530864
24-11-2018,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,150.9651685
19-10-2020,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,150.9641573
05-10-2020,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,150.8879121
23-12-2021,"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119,150.8297872
19-02-2020,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,150.7738667
01-10-2020,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,150.5069767
15-12-2021,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,150.2817308
19-11-2019,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,150.21375
20-01-2020,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,150.1332
12-01-2021,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,150.0056818
09-02-2021,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,149.852809
12-11-2019,"Central School, Lucknow - CPCB",26.8821003,80.9302753,149.8015152
06-01-2018,"Nishant Ganj, Lucknow - UPPCB",26.871428,80.957145,149.7142857
09-11-2018,"Nishant Ganj, Lucknow - UPPCB",26.871428,80.957145,149.5882353
30-12-2020,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,149.5157303
08-10-2020,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,149.484507
20-10-2018,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,149.2558696
20-04-2018,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,149.2364211
11-11-2019,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,149.1912632
05-01-2019,"Central School, Lucknow - CPCB",26.8821003,80.9302753,149.1228125
20-02-2021,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,149.11875
16-10-2020,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,149.0605263
17-03-2021,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,149.0111111
15-02-2019,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,148.8421687
15-01-2020,"Central School, Lucknow - CPCB",26.8821003,80.9302753,148.8388172
27-01-2021,"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119,148.8113208
07-05-2018,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,148.794375
11-12-2020,"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119,148.75
26-10-2018,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,148.3454737
25-12-2020,"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119,148.3064516
31-12-2020,"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119,148.2686567
03-11-2019,"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119,148.1627907
29-10-2019,"Central School, Lucknow - CPCB",26.8821003,80.9302753,148.1383333
